# Run the following dommand:
# python3 linefit_jkr.py SampleData_PDMS.txt -r 150e-9
# 
# indentation	load
-9.8334276e-08	-1.0732371e-08
-1.0036037e-07	-1.0506022e-08
-1.0243205e-07	-1.0166497e-08
-1.0445809e-07	-9.9401483e-09
-1.0652978e-07	-9.6006234e-09
-1.0860146e-07	-9.2610994e-09
-1.1069598e-07	-8.8649879e-09
-1.1285897e-07	-8.2991143e-09
-1.1502197e-07	-7.7332398e-09
-1.1720779e-07	-7.1107777e-09
-1.1943928e-07	-6.3751426e-09
-1.2217295e-07	-4.3945847e-09
-1.2483815e-07	-2.5837883e-09
-1.2677293e-07	-2.5837883e-09
-1.2868483e-07	-2.6403748e-09
-1.3061955e-07	-2.6403748e-09
-1.3253145e-07	-2.6969635e-09
-1.3444334e-07	-2.7535498e-09
-1.3635524e-07	-2.8101363e-09
-1.3826714e-07	-2.8667251e-09
-1.4017903e-07	-2.9233116e-09
-1.4211375e-07	-2.9233116e-09
-1.4400283e-07	-3.0364868e-09
-1.4593755e-07	-3.0364868e-09
-1.4784943e-07	-3.0930756e-09
-1.4978421e-07	-3.0930756e-09
-1.5167329e-07	-3.2062484e-09
-1.5358518e-07	-3.2628371e-09
-1.555199e-07	-3.2628371e-09
-1.5740898e-07	-3.3760124e-09
-1.593437e-07	-3.3760124e-09
-1.6125558e-07	-3.4325989e-09
-1.6319031e-07	-3.4325989e-09
-1.6512503e-07	-3.4325989e-09
-1.6715107e-07	-3.2062484e-09
-1.6913144e-07	-3.0930756e-09
-1.7106622e-07	-3.0930756e-09
-1.7300094e-07	-3.0930756e-09
-1.7493566e-07	-3.0930756e-09
-1.7689322e-07	-3.0364868e-09
-1.7882795e-07	-3.0364868e-09
-1.8073983e-07	-3.0930756e-09
-1.8269739e-07	-3.0364868e-09
-1.8460928e-07	-3.0930756e-09
-1.8658966e-07	-2.9799003e-09
-1.8852438e-07	-2.9799003e-09
-1.904591e-07	-2.9799003e-09
-1.9239383e-07	-2.9799003e-09
-1.9435143e-07	-2.9233116e-09
-1.9628615e-07	-2.9233116e-09
-1.9822087e-07	-2.9233116e-09
-2.0017843e-07	-2.8667251e-09
-2.0211316e-07	-2.8667251e-09
-2.040707e-07	-2.8101363e-09
-2.0602825e-07	-2.7535498e-09
-2.0796297e-07	-2.7535498e-09
-2.0992053e-07	-2.6969635e-09
-2.1187807e-07	-2.6403748e-09
-2.138128e-07	-2.6403748e-09
-2.157704e-07	-2.5837883e-09
-2.1772796e-07	-2.5271996e-09
-2.196855e-07	-2.470613e-09
-2.2162023e-07	-2.470613e-09
-2.2360061e-07	-2.3574378e-09
-2.2555815e-07	-2.3008515e-09
-2.275157e-07	-2.2442628e-09
-2.2945042e-07	-2.2442628e-09
-2.314308e-07	-2.1310897e-09
-2.3338835e-07	-2.074501e-09
-2.3534591e-07	-2.0179145e-09
-2.3730345e-07	-1.961326e-09
-2.3923823e-07	-1.961326e-09
-2.4124142e-07	-1.7915642e-09
-2.4317615e-07	-1.7915642e-09
-2.4511087e-07	-1.7915642e-09
-2.4711409e-07	-1.6218026e-09
-2.4904881e-07	-1.6218026e-09
-2.5102918e-07	-1.5086273e-09
-2.5298675e-07	-1.4520408e-09
-2.5492147e-07	-1.4520408e-09
-2.5690184e-07	-1.3388657e-09
-2.5888221e-07	-1.2256905e-09
-2.6083976e-07	-1.169104e-09
-2.6275171e-07	-1.2256905e-09
-2.6473211e-07	-1.1125153e-09
-2.6668965e-07	-1.0559289e-09
-2.686472e-07	-9.9934017e-10
-2.7062757e-07	-8.861672e-10
-2.7263079e-07	-7.1640333e-10
-2.7458833e-07	-6.5981681e-10
-2.7654588e-07	-6.0323035e-10
-2.7850342e-07	-5.4664162e-10
-2.8048382e-07	-4.3346646e-10
-2.8246419e-07	-3.2029349e-10
-2.8442179e-07	-2.6370481e-10
-2.8640216e-07	-1.5052962e-10
-2.8833688e-07	-1.5052962e-10
-2.9031727e-07	-3.7356639e-11
-2.9227482e-07	1.9232052e-11
-2.9423236e-07	7.5818539e-11
-2.9618991e-07	1.3240724e-10
-2.9814746e-07	1.8899372e-10
-3.0012785e-07	3.021689e-10
-3.0208543e-07	3.5875539e-10
-3.0404297e-07	4.1534409e-10
-3.0600052e-07	4.7193055e-10
-3.0795806e-07	5.2851928e-10
-3.0991563e-07	5.8510574e-10
-3.1187318e-07	6.4169225e-10
-3.1380793e-07	6.4169225e-10
-3.157883e-07	7.5486739e-10
-3.1774584e-07	8.1145612e-10
-3.1970339e-07	8.6804258e-10
-3.2163811e-07	8.6804258e-10
-3.2364133e-07	1.0378043e-09
-3.2557608e-07	1.0378043e-09
-3.275108e-07	1.0378043e-09
-3.2946835e-07	1.0943929e-09
-3.3144872e-07	1.2075659e-09
-3.3338344e-07	1.2075659e-09
-3.3534104e-07	1.2641547e-09
-3.3729859e-07	1.3207411e-09
-3.3923331e-07	1.3207411e-09
-3.4119086e-07	1.3773298e-09
-3.4317122e-07	1.4905028e-09
-3.4515162e-07	1.603678e-09
-3.4708637e-07	1.603678e-09
-3.4904392e-07	1.6602667e-09
-3.5100146e-07	1.7168531e-09
-3.5293618e-07	1.7168531e-09
-3.5489373e-07	1.7734396e-09
-3.5685127e-07	1.8300284e-09
-3.587632e-07	1.7734396e-09
-3.6072075e-07	1.8300284e-09
-3.6265547e-07	1.8300284e-09
-3.6461302e-07	1.8866149e-09
-3.6652492e-07	1.8300284e-09
-3.6845964e-07	1.8300284e-09
-3.7041721e-07	1.8866149e-09
-3.7232911e-07	1.8300284e-09
-3.7426383e-07	1.8300284e-09
-3.7619856e-07	1.8300284e-09
-3.7813328e-07	1.8300284e-09
-3.80068e-07	1.8300284e-09
-3.8200275e-07	1.8300284e-09
-3.8393748e-07	1.8300284e-09
-3.8584938e-07	1.7734396e-09
-3.877841e-07	1.7734396e-09
-3.8971882e-07	1.7734396e-09
-3.9163072e-07	1.7168531e-09
-3.9354265e-07	1.6602667e-09
-3.9547737e-07	1.6602667e-09
-3.9738927e-07	1.603678e-09
-3.9932399e-07	1.603678e-09
-4.0123587e-07	1.5470915e-09
-4.0317062e-07	1.5470915e-09
-4.0508252e-07	1.4905028e-09
-4.0701724e-07	1.4905028e-09
-4.0892914e-07	1.4339163e-09
-4.1084104e-07	1.3773298e-09
-4.1275294e-07	1.3207411e-09
-4.1468769e-07	1.3207411e-09
-4.1659959e-07	1.2641547e-09
-4.1851146e-07	1.2075659e-09
-4.2040054e-07	1.0943929e-09
-4.2231244e-07	1.0378043e-09
-4.2422434e-07	9.8121777e-10
-4.2611342e-07	8.6804258e-10
-4.2804814e-07	8.6804258e-10
-4.2993722e-07	7.5486739e-10
-4.3187194e-07	7.5486739e-10
-4.3376102e-07	6.4169225e-10
-4.3567292e-07	5.8510574e-10
-4.3760767e-07	5.8510574e-10
-4.3949672e-07	4.7193055e-10
-4.4138579e-07	3.5875539e-10
-4.4327487e-07	2.4558022e-10
-4.4520959e-07	2.4558022e-10
-4.4712147e-07	1.8899372e-10
-4.4903339e-07	1.3240724e-10
-4.5092247e-07	1.9232052e-11
-4.5281155e-07	-9.3943124e-11
-4.5472342e-07	-1.5052962e-10
-4.5663532e-07	-2.0711831e-10
-4.5854722e-07	-2.6370481e-10
-4.6043633e-07	-3.7687997e-10
-4.6234823e-07	-4.3346646e-10
-4.6428295e-07	-4.3346646e-10
-4.6619482e-07	-4.9005516e-10
-4.680839e-07	-6.0323035e-10
-4.69973e-07	-7.1640333e-10
-4.718849e-07	-7.72992e-10
-4.7377395e-07	-8.861672e-10
-4.7568585e-07	-9.4275365e-10
-4.7759772e-07	-9.9934017e-10
-4.7950965e-07	-1.0559289e-09
-4.8144437e-07	-1.0559289e-09
-4.8333345e-07	-1.169104e-09
-4.8522253e-07	-1.2822792e-09
-4.871344e-07	-1.3388657e-09
-4.8906912e-07	-1.3388657e-09
-4.909582e-07	-1.4520408e-09
-4.9289298e-07	-1.4520408e-09
-4.9478206e-07	-1.5652161e-09
-4.9669393e-07	-1.6218026e-09
-4.9862865e-07	-1.6218026e-09
-5.0054052e-07	-1.678389e-09
-5.0245245e-07	-1.7349777e-09
-5.0436438e-07	-1.7915642e-09
-5.0627625e-07	-1.8481529e-09
-5.0818818e-07	-1.9047395e-09
-5.1010005e-07	-1.961326e-09
-5.1201192e-07	-2.0179145e-09
-5.1394665e-07	-2.0179145e-09
-5.1585857e-07	-2.074501e-09
-5.177933e-07	-2.074501e-09
-5.1970522e-07	-2.1310897e-09
-5.215943e-07	-2.2442628e-09
-5.2352902e-07	-2.2442628e-09
-5.254409e-07	-2.3008515e-09
-5.2737562e-07	-2.3008515e-09
-5.2931034e-07	-2.3008515e-09
-5.3124506e-07	-2.3008515e-09
-5.3315699e-07	-2.3574378e-09
-5.3509171e-07	-2.3574378e-09
-5.3700364e-07	-2.4140265e-09
-5.3893837e-07	-2.4140265e-09
-5.4089588e-07	-2.3574378e-09
-5.4280781e-07	-2.4140265e-09
-5.4474253e-07	-2.4140265e-09
-5.4667726e-07	-2.4140265e-09
-5.4858913e-07	-2.470613e-09
-5.5052391e-07	-2.470613e-09
-5.5245863e-07	-2.470613e-09
-5.5439335e-07	-2.470613e-09
-5.5635093e-07	-2.4140265e-09
-5.5828565e-07	-2.4140265e-09
-5.6024317e-07	-2.3574378e-09
-5.6215509e-07	-2.4140265e-09
-5.6411261e-07	-2.3574378e-09
-5.6602454e-07	-2.4140265e-09
-5.6800491e-07	-2.3008515e-09
-5.6991684e-07	-2.3574378e-09
-5.718972e-07	-2.2442628e-09
-5.7383193e-07	-2.2442628e-09
-5.757895e-07	-2.1876763e-09
-5.7772422e-07	-2.1876763e-09
-5.7965894e-07	-2.1876763e-09
-5.8161646e-07	-2.1310897e-09
-5.8355118e-07	-2.1310897e-09
-5.8550876e-07	-2.074501e-09
-5.8744348e-07	-2.074501e-09
-5.8940105e-07	-2.0179145e-09
-5.9135863e-07	-1.961326e-09
-5.9329335e-07	-1.961326e-09
-5.9525087e-07	-1.9047395e-09
-5.9720844e-07	-1.8481529e-09
-5.9914316e-07	-1.8481529e-09
-6.0110074e-07	-1.7915642e-09
-6.0303546e-07	-1.7915642e-09
-6.0501583e-07	-1.678389e-09
-6.0695055e-07	-1.678389e-09
-6.0895377e-07	-1.5086273e-09
-6.1091134e-07	-1.4520408e-09
-6.1284607e-07	-1.4520408e-09
-6.1478079e-07	-1.4520408e-09
-6.1676116e-07	-1.3388657e-09
-6.1869588e-07	-1.3388657e-09
-6.206763e-07	-1.2256905e-09
-6.2263382e-07	-1.169104e-09
-6.2459139e-07	-1.1125153e-09
-6.2652612e-07	-1.1125153e-09
-6.2848369e-07	-1.0559289e-09
-6.3044121e-07	-9.9934017e-10
-6.3242163e-07	-8.861672e-10
-6.3437915e-07	-8.2957852e-10
-6.3633672e-07	-7.72992e-10
-6.3827144e-07	-7.72992e-10
-6.4025181e-07	-6.5981681e-10
-6.4218654e-07	-6.5981681e-10
-6.4414411e-07	-6.0323035e-10
-6.4612448e-07	-4.9005516e-10
-6.4808205e-07	-4.3346646e-10
-6.5003962e-07	-3.7687997e-10
-6.5201999e-07	-2.6370481e-10
-6.5397751e-07	-2.0711831e-10
-6.5593508e-07	-1.5052962e-10
-6.578698e-07	-1.5052962e-10
-6.5985023e-07	-3.7356639e-11
-6.6178495e-07	-3.7356639e-11
-6.6374247e-07	1.9232052e-11
-6.6570004e-07	7.5818539e-11
-6.6770326e-07	2.4558022e-10
-6.6963798e-07	2.4558022e-10
-6.7159556e-07	3.021689e-10
-6.7357593e-07	4.1534409e-10
-6.754878e-07	3.5875539e-10
-6.7746822e-07	4.7193055e-10
-6.7942574e-07	5.2851928e-10
-6.8138331e-07	5.8510574e-10
-6.8334089e-07	6.4169225e-10
-6.8532125e-07	7.5486739e-10
-6.8727883e-07	8.1145612e-10
-6.8921355e-07	8.1145612e-10
-6.9114827e-07	8.1145612e-10
-6.9312864e-07	9.246291e-10
-6.9508621e-07	9.8121777e-10
-6.9704373e-07	1.0378043e-09
-6.990013e-07	1.0943929e-09
-7.0095888e-07	1.1509794e-09
-7.029164e-07	1.2075659e-09
-7.0485112e-07	1.2075659e-09
-7.0680869e-07	1.2641547e-09
-7.0874341e-07	1.2641547e-09
-7.1067814e-07	1.2641547e-09
-7.126585e-07	1.3773298e-09
-7.1461608e-07	1.4339163e-09
-7.1657365e-07	1.4905028e-09
-7.1850837e-07	1.4905028e-09
-7.204431e-07	1.4905028e-09
-7.2240067e-07	1.5470915e-09
-7.2431254e-07	1.4905028e-09
-7.2629291e-07	1.603678e-09
-7.2822763e-07	1.603678e-09
-7.3018521e-07	1.6602667e-09
-7.3211993e-07	1.6602667e-09
-7.340775e-07	1.7168531e-09
-7.3601223e-07	1.7168531e-09
-7.3792415e-07	1.6602667e-09
-7.3988167e-07	1.7168531e-09
-7.4183924e-07	1.7734396e-09
-7.4375112e-07	1.7168531e-09
-7.4568584e-07	1.7168531e-09
-7.4762062e-07	1.7168531e-09
-7.4955534e-07	1.7168531e-09
-7.5151286e-07	1.7734396e-09
-7.5344758e-07	1.7734396e-09
-7.5535951e-07	1.7168531e-09
-7.5729423e-07	1.7168531e-09
-7.5922895e-07	1.7168531e-09
-7.6114088e-07	1.6602667e-09
-7.6312125e-07	1.7734396e-09
-7.6501033e-07	1.6602667e-09
-7.6694505e-07	1.6602667e-09
-7.6887977e-07	1.6602667e-09
